section,metric,value,details,comments,source_sheet,source_row
Inconclusives,Number of Inconclusive Tubes resolved Positive by Referral Test or Correspondence,1,,2022-05-08T00:00:00,Stats,35
Inconclusives,% Inconclusives resolved Positive by Referral Tests,0.25,,2/4 unknown and 1 of those was in household of positives,Stats,36
Inconclusives,Number of Inconclusive Tubes with Referral Test or Correspondence Negative,1,,,Stats,37
Inconclusives,Number of Inconclusive Tubes with no Referral Test result or Correspondence,2,,,Stats,38
Inconclusives,Number of Tubes with Initial Inconclusives and Re-run Negative,36,"Count Result Correction Code=2.5 in preDel col AJ, or from RFR preExcl if not resulted as Incl in App","No 2.5 correction code, Sum AE - AF = 36",Stats,39
Inconclusives,Number of Inconclusive Test Run Calls,43,includes re-runs - from RFR Audit only and excludes any APS only resulted inconclusives,,Stats,40
Inconclusives,% Tube Tests Run Called Inconclusive,0.02657601978,includes re-runs,,Stats,41
Referrals and Correspondence,Number of FloodLAMP Cases with Referral Tests or Correspondence,15,"Indiv or Pool, Cases used instead of Person to account for people being contracting COVID multiple times, and instead of Results to exclude re-tests",,Stats,44
Referrals and Correspondence,Number of Referral Confirmed FloodLAMP Positives,14,Sometimes also termed Agree Positives - Include initial Inconclusive with Referral or Correspondence Positive,,Stats,45
Referrals and Correspondence,FL Inconclusives with Referral / Correspondence Positive,1,,2022-05-08T00:00:00,Stats,46
Referrals and Correspondence,% FloodLAMP Positive or Inconclusive with Referral / Correspondence Positive,1,,,Stats,47
Referrals and Correspondence,FL Inconclusives but Referral / Correspondence Negative,1,,2022-02-14T00:00:00,Stats,48
Referrals and Correspondence,FL Inconclusives with No Referral Tests or Correspondence,2,,,Stats,49
Comparison to Antigen,Number of FloodLAMP Test Person Cases with Referral Antigen Tests (including non-Same Day),11,,,Stats,52
Comparison to Antigen,Number of FloodLAMP Test Person Cases with Same Day Referral Antigen Tests,11,,,Stats,53
Comparison to Antigen,Number of FloodLAMP Positive Test Person Cases with Same Day Antigen Negative,5,Agree with Referral Test Positive (usually PCR or later Antigen) but Initial Antigen Negative,,Stats,54
Comparison to Antigen,% Confirmed FloodLAMP Positives with Same Day Antigen Negative,0.4545454545,,,Stats,55
Comparison to Antigen,Number of FloodLAMP Positive Test Person Cases confirmed with Referral Tests but Antigen and Other Non-Antigen Test Negative,1,,,Stats,56
Comparison to Antigen,% Confirmed FloodLAMP Positives that were Antigen and Other Non-Antigen Test Negative,0.09090909091,,,Stats,57
False Calls,False Positives Final Results,0,From reviewing APS/Pos and Incl tab Unconfirmed FL Positives,,Stats,60
False Calls,False Negative Final Results (Suspected),0,From reviewing Referral Tests by Person and correspondence with Program Admin,,Stats,61
People,Number of Unique Individuals Tested,212,Includes UnknownPerson additions but not ARF tubes,,Stats,64
People,Number of Unique Sponsors,60,People who collect using the app,,Stats,65
Positivity,Number of Unique Individual Tested FloodLAMP Positive,26,includes Inconclusive FloodLAMP result confirmed Positive by follow-up or Referral,,Stats,68
Positivity,% of Population FloodLAMP Positive (excluding pools not deconv),0.1226415094,,,Stats,69
Positivity,Number of Unique Individual Tested FloodLAMP Positive (including if in a positive pool),52,,,Stats,70
Positivity,% of Population FloodLAMP Positive (including everyone in a positive pool),0.2452830189,,,Stats,71
Dates,Start Run Date,2020-12-11,,,Stats,74
Dates,End Run Date,2023-01-02,,,Stats,75
Info,Test Operator,FloodLAMP,Who ran the actual testing (running LAMP reactions),,Stats,78
Info,Test Processing Site,Various,Where the test processing (running LAMP reactions) was done,,Stats,79
Info,Population Tested,"Staff, Students, Families, Community",Description of the participants,,Stats,80
Info,Configuration,Various,Equipment set used for test processing (relates to throughput and type of test tube used),,Stats,81
Info,Collection Type,"Pooled Household, Individual","Pooled, Individual, or Both",,Stats,82
Info,Self or HCW Collected,Self,HCW is Health Care Worker,,Stats,83
Info,App Used?,Yes,Was the FloodLAMP Mobile App and Admin Portal utilized in the program,,Stats,84
Info,Bring-up Type,In Person,How the initial setup and validation of the testing site was done,,Stats,85
Info,Program Name,FloodLAMP,Shorthand name used internally at FloodLAMP and in other documents for this program,,Stats,86
Info,Site,Various,Broader physical space where the testing was done and/or where participants congregated,,Stats,87
Info,Site Type,Various,Type of entity or organization receiving the testing program,,Stats,88
Info,Location,"Portola Valley, CA",Geographical location of where the FloodLAMP testing program occurred,,Stats,89
Pooling,Number of Initial FloodLAMP Positive Pools,13,,,Stats,92
Pooling,Number of Initial FloodLAMP Positive Pools with Indiv Deconvolution,8,,,Stats,93
Pooling,Number of Initial FloodLAMP Positive Pools Confirmed by Referral Testing,9,,,Stats,94
Pooling,Number of Initial Confirmed FL Pools where the organization member (i.e. parent or other child) was Positive,5,,,Stats,95
Pooling,Number of Initial Confirmed FL Pools where Positive Individual was not the organization member (i.e. parent or other child),4,,,Stats,96
Pooling,% Confirmed Positive Pools where Positive Individual was not the organization member (i.e. parent or other child),0.4444444444,,,Stats,97
